Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\RAD-V3-PCB\SiPM_Sensor_Array\Outjob-Outputs\Fabrication Files\Pick Place\DesignName-BoardRevision-Pick Place.txt

========================================================================================================================
File Design Information:

Date:       13/09/26
Time:       22:16
Revision:   fdf117cce8b89190e5c15beebed94a729da2e179
Variant:    No variations
Units used: mil

Designator Comment                 Layer       Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                
J1         DF17(3.0)-20DS-0.5V(57) TopLayer    CONN_DF173.0-20DS-0.5V57_HIR 139.685       514.842       90       Description                                                                                                                                                                                                
C3         100uF                   TopLayer    CAPACITOR_0805_2012M-70N     320.000       290.000       90       "Passive - Capacitor, 0805, 100uF Max, X5R, 6.3V ±20%, -55°C ~ 85°C, 0805 (2012 Metric). 20uF @ 6.3V"                                                                                                      
C2         100uF                   TopLayer    CAPACITOR_0805_2012M-70N     660.000       292.992       90       "Passive - Capacitor, 0805, 100uF Max, X5R, 6.3V ±20%, -55°C ~ 85°C, 0805 (2012 Metric). 20uF @ 6.3V"                                                                                                      
B1         S14160-3050HS           BottomLayer S141603050HS                 496.693       868.307       180      "The S14160 series achieve higher PDE (photon detection efficiency) and lower operation voltage than other MPPC to adapt for PET and radiation monitor application.-Higher PDE: 50% at p, Vop=VBR + 2.7 V" 
B2         S14160-3050HS           BottomLayer S141603050HS                 495.000       685.000       180      "The S14160 series achieve higher PDE (photon detection efficiency) and lower operation voltage than other MPPC to adapt for PET and radiation monitor application.-Higher PDE: 50% at p, Vop=VBR + 2.7 V" 
C1         100uF                   TopLayer    CAPACITOR_0805_2012M-70N     410.000       590.000       270      "Passive - Capacitor, 0805, 100uF Max, X5R, 6.3V ±20%, -55°C ~ 85°C, 0805 (2012 Metric). 20uF @ 6.3V"                                                                                                      
VBR        5267                    TopLayer    KEYSTONE_5267                905.000       815.000       0        "TEST POINT (BLUE) - MINIATURE"                                                                                                                                                                            
VAN2       5267                    TopLayer    KEYSTONE_5267                330.000       815.000       90       "TEST POINT (BLUE) - MINIATURE"                                                                                                                                                                            
VAN1       5267                    TopLayer    KEYSTONE_5267                695.000       815.000       0        "TEST POINT (BLUE) - MINIATURE"                                                                                                                                                                            
SDA        5267                    TopLayer    KEYSTONE_5267                265.000       160.000       0        "TEST POINT (BLUE) - MINIATURE"                                                                                                                                                                            
SCL        5267                    TopLayer    KEYSTONE_5267                735.000       160.000       0        "TEST POINT (BLUE) - MINIATURE"                                                                                                                                                                            
GND        5267                    TopLayer    KEYSTONE_5267                578.333       160.000       0        "TEST POINT (BLUE) - MINIATURE"                                                                                                                                                                            
3V3        5267                    TopLayer    KEYSTONE_5267                420.000       160.000       0        "TEST POINT (BLUE) - MINIATURE"                                                                                                                                                                            
R2         CR0805-FX-2001ELF       TopLayer    RESC2012X60N                 525.000       395.000       90       "Res 0805 2k 1% 125mW"                                                                                                                                                                                     
R1         CR0805-FX-2001ELF       TopLayer    RESC2012X60N                 444.842       395.000       90       "Res 0805 2k 1% 125mW"                                                                                                                                                                                     
J2         DF17(3.0)-20DS-0.5V(57) TopLayer    CONN_DF173.0-20DS-0.5V57_HIR 840.197       512.795       90       Description                                                                                                                                                                                                
U1         TMP112AQDRLRQ1          TopLayer    DRL0006A                     495.000       560.000       180      "No Description Available"                                                                                                                                                                                 
